Blockchain Company,ICO Size (in millions),Market Capitalization
Hut34, $ 3.38 ,
HybridBlock, $ 47.83 ,"184,122.20"
HYCON, $ 3.65 ,"6,348,010"
IAC AutoUnit,10.69,
ICObox, $ 12.05 ,
Icoo, $ 0.37 ,
iDice, $ 2.02 ,
IEX.EC, $ 12.12 ,"410,678,897"
Ignis (IGNIS), $ 18.30 ,"95,528,344"
Ignite Ratings, $ 3.00 ,
Impak Finance, $ 1.05 ,
Incent, $ 1.00 ,"6,734,224"
indaHash, $ 42.72 ,"2,359,605"
Indorse, $ 7.98 ,"2,392,693"
Ink Protocol, $ 15.00 ,"1,105,584"
INS Ecosystem, $ 45.76 ,
Insights Network (INSTAR), $ 17.40 ,"8,062,671.19"
Inspeer, $ 2.00 ,
InsurePal (IPL), $ 18.00 ,
Insureum, $ 20.00 ,"8,625,759"
InsureX, $ 17.27 ,
Intelligent Trading Tech, $ 3.12 ,
Internet of Coins, $ 1.10 ,
Internxt, $ 0.16 ,"3,226,817"
intimate, $ 12.50 ,
iOlite (Pre-Sale), $ 2.23 ,
Ionomy, $ 0.50 ,
IP Exchange (IPSX), $ 7.90 ,"328,250.66"
IQeon, $ 1.63 ,"11,790,821"
iungo, $ 45.98 ,"143,072.60"
JET8, $ 32.70 ,
Jibrel Network, $ 30.00 ,
Jibrel Network, $ 30.00 ,
Joy Token, $ 3.34 ,
JOYSO, $ 4.10 ,"13,209,200.00"
Just Dating Site, $ 0.35 ,
Karios,13,
Kerberos ICO, $ 0.66 ,
Kibo Lotto, $ 1.90 ,
KICKICO, $ 17.12 ,
KIK, $ 98.00 ,
Kleros,2.44,"126,762,641.40"
Knowledge, $ 7.69 ,"6,009,883,417"
KodakOne, $ 2.00 ,
Kora Network (KNT), $ 12.00 ,"525,285.70"
L Pesa, $ 7.96 ,
LaLa World (LALA), $ 20.20 ,
Lamden (TAU), $ 10.00 ,"13,150,106"
Latium (LATX), $ 14.00 ,
LAToken (LAT), $ 19.36 ,"120,502,600"
LeadCoin (LDC), $ 50.00 ,"452,670"
Legends Room, $ 1.23 ,
Legolas Exchange (LGO), $ 35.00 ,
LemoChain, $ 6.30 ,"28,654,016"
Lendingblock, $ 10.00 ,"2,774,495"
Lendroid, $ 47.50 ,"15,289,996.70"
Leverj (LEV), $ 13.84 ,
LeviarCoin, $ 0.77 ,
LH-Crypto, $ 10.81 ,
Libra Credit, $ 26.40 ,"4,039,140.89"
